,Unnamed: 0,Destination,Origin,T1990,T1995,T2000,T2005,T2010,T2015,T2020,M1990,M1995,M2000,M2005,M2010,M2015,M2020,F1990,F1995,F2000,F2005,F2010,F2015,F2020,origin_lat,origin_long,dest_lat,dest_long
79,1738,oceania (excluding australia and new zealand),central america,,,,,,,,,,,,,,,,,,,,,,17.145601,-94.557348,-6.82688,145.715927
80,1739,oceania (excluding australia and new zealand),south america,,,,,,,,,,,,,,,,,,,,,,-12.684091,-56.063741,-6.82688,145.715927
81,1740,oceania (excluding australia and new zealand),northern america,36368.0,32723.0,28579.0,27687.0,26210.0,26182.0,27270.0,22121.0,19548.0,16660.0,15451.0,13935.0,13928.0,14487.0,14247.0,13175.0,11919.0,12236.0,12275.0,12254.0,12783.0,43.947885,-98.041543,-6.82688,145.715927
82,1741,oceania (excluding australia and new zealand),oceania,80225.0,87885.0,90745.0,90917.0,86298.0,88743.0,91155.0,42431.0,46722.0,47914.0,48171.0,45804.0,46798.0,48014.0,37794.0,41163.0,42831.0,42746.0,40494.0,41945.0,43141.0,-21.439922,152.58884,-6.82688,145.715927
83,1742,oceania (excluding australia and new zealand),australia and new zealand,25034.0,25995.0,22277.0,22675.0,21187.0,21043.0,21372.0,14104.0,14980.0,13087.0,13462.0,12581.0,12562.0,12745.0,10930.0,11015.0,9190.0,9213.0,8606.0,8481.0,8627.0,-25.79385,138.356838,-6.82688,145.715927
84,1981,australia and new zealand,world,4473260.0,4741947.0,5065063.0,5717982.0,6830423.0,7769466.0,9067584.0,2271419.0,2382510.0,2519827.0,2826880.0,3381077.0,3846117.0,4480351.0,2201841.0,2359437.0,2545236.0,2891102.0,3449346.0,3923349.0,4587233.0,,,-25.79385,138.356838
85,1986,australia and new zealand,latin america and the caribbean,81984.0,86585.0,87624.0,99412.0,127221.0,159787.0,209475.0,40231.0,42039.0,42224.0,47727.0,61363.0,77186.0,100853.0,41753.0,44546.0,45400.0,51685.0,65858.0,82601.0,108622.0,19.432384,-100.460844,-25.79385,138.356838
86,1987,australia and new zealand,oceania (excluding australia and new zealand),152771.0,163102.0,191159.0,220023.0,251340.0,283916.0,319996.0,73909.0,77752.0,92245.0,106174.0,121308.0,138085.0,155254.0,78862.0,85350.0,98914.0,113849.0,130032.0,145831.0,164742.0,-6.82688,145.715927,-25.79385,138.356838
87,1988,australia and new zealand,australia and new zealand,346087.0,364148.0,419804.0,483479.0,580866.0,640591.0,696555.0,176303.0,184244.0,213068.0,245924.0,297123.0,327826.0,354848.0,169784.0,179904.0,206736.0,237555.0,283743.0,312765.0,341707.0,-25.79385,138.356838,-25.79385,138.356838
88,2002,australia and new zealand,africa,159742.0,179490.0,226043.0,324678.0,432291.0,503256.0,585073.0,81158.0,90750.0,113798.0,164186.0,218454.0,254730.0,294829.0,78584.0,88740.0,112245.0,160492.0,213837.0,248526.0,290244.0,11.375205,18.667941,-25.79385,138.356838
